,hotelName,price
161,Collection O 30111 Near Chandrasekharpur,None
162,Capital O 29241 Hotel Middleton,None
163,OYO 3869 Hotel Daaven,None
164,OYO 11760 near Infocity,None
165,OYO 9548 Green Villa Guest House,None
166,OYO 13092 Comfort Inn,None
167,OYO 3518 The Room,None
168,OYO 2770 Hotel 7Saat,None
169,OYO 10982 Hotel Sai Prabha,None
170,Fabhotel Sai Prabha,None
171,OYO 7583 Hotel Suraj Palace 1,None
172,Hotel Suraj Palace,None
173,OYO 18826 Hotel Emerald,None
174,OYO 23251 Prime Residency,None
175,OYO 6680 Hotel Galaxy International,None
176,OYO 8222 near KIIT University,None
177,OYO 5703 near KIIT University,None
178,FabExpress Royal Guest House,None
179,OYO 4720 near KIIT University,None
180,OYO 8858 The Corpz Inn,None
181,OYO 9245 near KIIT University,None
182,OYO 8195 Patia,None
183,Capital O 30565 Pabitra Royal Regency,None
184,Pabitra Royal Regency,None
185,HOTEL PAL HEIGHTS MANTRA,None
186,OYO 15474 The Village Inn,None
187,OYO 12756 Galaxy Homes,None
188,OYO 9842 Hotel Shibani & Suhani,None
189,OYO 18681 Amrapalli Resorts,None
